id	component1	component2	class
1	-5.90708448966451	-3.1705342794634	1
2	-6.09505473038917	-0.978796630722323	2
3	-5.41349082512365	-1.82239327350221	3
4	-5.82072171074346	-0.743217838510127	4
5	-5.98454337364922	-2.13429265190181	5
6	-5.19155028681338	-1.27164622160352	7
7	-6.11106230539767	-0.592310147758427	8
8	-5.76516985515337	-1.48323501395419	9
9	-4.50043822622201	-1.45717594662193	10
10	-5.15211400307958	-1.97522469035324	11
11	-4.53599742574702	-1.32912686072987	12
12	-4.14968045345447	-0.7904927026346	13
13	-5.64798227864457	0.596205070592086	14
14	-4.02029682113693	-0.922988536781602	16
15	-4.15486677930389	-1.31581957735513	17
16	-4.00907853988863	-0.84403616528913	18
17	-4.34733903671327	-2.21152938566165	20
18	-3.80922274081191	-1.19113724361535	21
19	-4.48174309317948	-1.28762570749491	22
20	-4.54562271363008	0.806664580142631	24
21	-3.74129902140366	-1.63334063508074	25
22	-4.68874041528278	0.145550086713146	26
23	-4.52973050498923	0.896412144112952	27
24	-4.08732917623146	-0.106118287046235	28
25	-3.82072608222833	-0.919141632725764	29
26	-3.21590491007326	-0.331144788529327	30
27	-5.13958293523186	-0.780149088851602	31
28	-2.8902709524758	-0.437226182645563	32
29	-4.25629102774524	0.692869797492597	33
30	-3.68554396005784	0.824702039400901	34
31	-3.58213020461668	-0.0317056745773957	35
32	-3.11274645661849	-0.694906009831864	36
33	-3.35946621578096	-0.356781587566142	37
34	-3.54891188754021	0.34161099613818	38
35	-2.5786628335105	-1.31783509076797	39
36	-2.9458275003146	-0.741012651599588	39
37	-3.57780889393945	-1.39942038161625	40
38	-2.8096405208589	-0.528926805717667	43
39	-4.30343981284941	0.503900404609675	43
40	-2.2230477386168	-0.912882659971639	44
41	-3.02513319569282	-2.99096799344505	45
42	-3.51043507763326	-0.855994649868745	45
43	-2.28195133385818	-1.02942913744197	47
44	-3.87804790147407	0.482085704334336	49
45	-3.22938415950469	-1.44107770768632	50
46	-3.16211747631393	-0.593149981010342	51
47	-3.9730646060854	-0.29543134577645	52
48	-3.53274868979015	0.67032897226698	53
49	-3.49521181039998	0.513713265099597	53
50	-2.56960309056691	-0.536052762283886	54
51	-3.31543739266778	0.713491848789757	56
52	-2.39329576959646	-0.754351734218846	57
53	-1.84666577699411	-0.556725763599567	58
54	-2.16741206868699	0.0619687554892339	59
55	-3.59269319665701	-2.03947330301736	60
56	-2.34997954593946	-1.17261428250593	60
57	-2.24053990091679	-0.0119227446577583	61
58	-2.26627336054764	0.123203661685377	62
59	-2.70419965091681	0.511900964918654	63
60	-2.63850199696619	0.691139975446579	64
61	-2.29358503532148	0.0842023114383864	65
62	-2.40740594941483	1.08354829428673	66
63	-3.25865549004865	1.49146039180798	67
64	-2.28455981017992	-0.562465113144438	68
65	-1.78265483338245	-0.891543591546594	69
66	-2.54634570709345	1.24599042930363	70
67	-1.52971687767664	0.365064040433146	70
68	-1.86795608079171	0.566229863176997	71
69	-1.4257827606911	-0.83788301366132	72
70	-3.03303023919186	0.758237456409115	73
71	-1.77472284553553	0.230610625064937	74
72	-2.38881670727744	0.835213022206758	75
73	-2.7617863190385	1.05514111620322	75
74	-2.33158190535291	-0.473473026622599	76
75	-3.35959852812845	1.30335720604216	78
76	-1.47877386464314	-1.41965102110217	79
77	-3.78378261460271	0.779734473743582	80
78	-1.84012695685003	-0.376075542065645	81
79	-1.62967529827546	-0.27135985230238	81
80	-2.28467215961595	1.21620134766169	82
81	-2.04491822271106	-1.11747233070907	83
82	-2.19421147874012	-0.23273045177844	83
83	-2.50093021770148	0.635887846437263	84
84	-2.75727779387609	1.29840816922035	85
85	-1.44005550082769	0.193544267197763	86
86	-1.5004588070941	0.2778604408785	86
87	-2.76134028277159	0.0127800825612447	87
88	-3.10283402101584	-2.2480912291878	87
89	-1.94864703823775	-0.176919655342241	87
90	-1.43398187112691	-0.980901638277845	88
91	-2.15401050264853	0.616927894078794	88
92	-1.9725528320421	-0.061114194949503	89
93	-1.55979348046872	0.124720873637423	89
94	-1.56582656480728	1.67324346550142	89
95	-1.26370865525554	-0.808775582551128	90
96	-2.45660211320467	0.640538345328473	91
97	-2.04459971223492	-1.64933943544286	92
98	-2.32396334684692	0.923407203660856	92
99	-1.33642541566173	-2.30376104650701	93
100	-2.66861686020466	0.332701942680141	94
101	-1.81804892633056	0.0314850714670022	94
102	-1.45177888319266	-3.71766940239999	95
103	-0.992371483947917	-0.465874837694396	96
104	-1.60429002608656	-0.104242318886757	97
105	-1.89559796850045	0.946238589237559	98
106	-2.06337635021385	-0.0456869875415921	99
107	-2.18184405827797	-0.321669648891808	99
108	-1.43393383039871	-0.147451278506873	100
109	-0.888425407571029	-0.315182171348665	100
110	-0.912418053454535	0.683780804400964	101
111	-1.22591378773727	0.254666382964879	101
112	-0.681879104192164	-0.448356201611831	102
113	-1.46884569740243	-0.594670154998181	102
114	-2.42486323559342	1.52502811556463	103
115	-2.23841517645407	1.04777320849261	104
116	-2.97432543172771	1.19791810509038	105
117	-1.19977060250982	-0.639168686995297	106
118	-1.78679561748599	0.918839070864349	106
119	-0.781035826784965	0.844639870294271	108
120	-2.01628550313389	0.858185433504539	109
121	-1.93918254880816	0.392401018771875	110
122	-1.73488048393413	-1.86306852063895	110
123	-2.17657077188012	1.39379251794991	111
124	-0.963508457387972	-0.00820823037436119	112
125	-2.03934205824099	1.97467949656484	113
126	-1.93449214920958	0.955378474731235	114
127	-0.31960999880574	0.109708012992461	115
128	-0.914705378827915	0.34368775563055	116
129	-0.861214664068845	-0.207439563388014	117
130	-1.2542261474788	-3.37357417251076	118
131	-2.12081344623877	0.443042867704726	119
132	-1.68429214763635	1.45035223643802	119
133	-2.32938681216123	-1.16969093028973	119
134	-1.44383806706033	-2.12320490950661	120
135	-0.784620582519353	-0.00524243021419324	121
136	-2.07040870152121	-1.28164357718152	122
137	-1.00538883467807	0.985262136744545	123
138	-1.8264829684221	1.0636575993213	124
139	-1.32568449638584	-0.846234656382389	125
140	-1.44595561359908	-0.111892494959061	125
141	-1.75980984241552	1.32713823902176	126
142	-2.59277273822163	-2.2152274472602	127
143	-1.05708654406514	-0.0769323017636624	127
144	-0.501969827787224	-0.0949595903505822	128
145	-0.87660447144848	0.719889555352882	129
146	-1.85575265701808	0.942960015986446	129
147	-0.7315139284592	0.44272089038289	130
148	-1.89444071584321	1.35706255296404	130
149	-0.819712521073924	-1.76014963157165	130
150	-1.53221449937927	-1.16340788494064	130
151	-1.35305485911364	1.26762435561807	130
152	-1.98241626892292	1.23840885680327	131
153	-2.14431895750875	0.714343578488005	131
154	-0.607405611134817	0.800209608902102	132
155	-1.28343108887481	0.379482001551178	133
156	-1.22659858022771	-1.73799628485137	134
157	-0.73493246047594	-0.226933942385905	135
158	-1.0785333020018	0.393634120819622	136
159	-1.17479814009406	-1.76806779929448	137
160	-0.931145673173774	0.60376291680135	138
161	-1.33018814943753	1.11934374400005	138
162	-0.460021264070344	-0.8655964673001	138
163	-0.878204652867774	0.338523185775573	139
164	-1.45214386232566	1.12535377086302	139
165	-0.490775560695803	0.838851475120245	139
166	0.0518865726092209	1.04381247547263	141
167	-1.15450547914966	0.529947838373705	142
168	-1.07184429261391	0.365014544192563	142
169	-0.823077911338671	-0.632160777046408	143
170	-2.53208765981842	1.73301723704089	144
171	-0.813685767391523	-0.299131982252676	144
172	-1.25751010190368	0.0326281141541646	145
173	-1.51677618911	1.06583259318241	146
174	-0.863603246327206	0.962677734262202	146
175	-0.362152178212836	0.796537421623301	147
176	-0.734525625409736	1.37807206589626	148
177	-1.76605646171415	1.32591941748448	149
178	-0.609078661489959	0.313585466848891	150
179	-1.9337253140552	1.49049716191334	150
180	0.0988609783274034	1.11364612127898	150
181	-0.929971191087175	0.127222293806608	150
182	-1.11468793899933	0.406096685982365	150
183	-1.29609731168966	-1.62101648724399	150
184	-1.62743548489165	0.380567841165791	150
185	-0.661539102990002	1.7673292124325	150
